[25/2/2022 20:42:22] !emotespells on
[25/2/2022 20:42:29] !emotespells on
[25/2/2022 20:42:32] !emotespells on
[1/3/2022 12:16:13] !aol
[1/3/2022 12:17:56] !aol
[1/3/2022 12:22:51] !aol
[1/3/2022 13:2:42] !guildpoints
[1/3/2022 14:4:53] !aol
[1/3/2022 14:6:21] !aol
[1/3/2022 14:54:21] !aol
[1/3/2022 16:19:2] !aol
