[28/5/2022 20:46:36] !emotespells on
[28/5/2022 21:2:14] !serverinfo
[30/5/2022 20:23:29] !online
[30/5/2022 20:37:18] !aol
[30/5/2022 21:15:3] !aol
[30/5/2022 21:59:49] !guildpoints
[31/5/2022 19:54:16] !emotespells on
[31/5/2022 23:26:8] !aol
[31/5/2022 23:48:0] !aol
[31/5/2022 23:59:14] !aol
[1/6/2022 6:8:4] !aol
[2/6/2022 0:54:46] !buyhouse
[2/6/2022 22:13:18] !aol
