[27/5/2022 20:21:15] !emotespells on
[27/5/2022 21:38:44] !aol
[27/5/2022 21:44:54] !aol
[27/5/2022 21:49:39] !aol
[27/5/2022 21:59:4] !aol
[27/5/2022 22:20:26] !aol
[27/5/2022 22:39:26] !aol
[31/5/2022 19:34:59] !emotespells on
[1/6/2022 1:13:16] !aol
[1/6/2022 1:14:36] !aol
[1/6/2022 1:15:15] !aol
[1/6/2022 1:16:30] !aol
