[23/2/2022 20:53:44] !emotespells off
[23/2/2022 20:53:49] !emotespells on
[24/2/2022 0:18:28] !aol
[24/2/2022 0:57:35] !aol
[24/2/2022 1:14:43] !aol
[24/2/2022 1:18:59] !aol
[24/2/2022 21:1:53] !aol
[24/2/2022 21:4:40] !aol
[24/2/2022 21:5:45] !aol
[24/2/2022 21:14:13] !aol
[25/2/2022 0:40:2] !aol
[25/2/2022 1:11:41] !aol
