[28/5/2022 18:5:20] !emotespells on
[28/5/2022 18:7:19] 
[28/5/2022 18:7:21] 
[28/5/2022 18:7:27] 
[28/5/2022 18:7:58] 
[28/5/2022 18:8:0] 
[28/5/2022 18:8:2] 
[28/5/2022 18:8:4] 
[28/5/2022 18:8:7] 
[28/5/2022 18:8:9] 
[28/5/2022 18:14:47] !emotespells on
[28/5/2022 18:15:23] 
[28/5/2022 18:15:26] 
[28/5/2022 18:15:28] 
[28/5/2022 18:15:30] 
[28/5/2022 18:15:32] 
[28/5/2022 18:15:47] 
[28/5/2022 18:16:54] 
[28/5/2022 18:16:56] 
[28/5/2022 18:16:59] 
[28/5/2022 18:17:28] !emotespells on
[28/5/2022 18:19:7] 
[28/5/2022 18:19:9] 
[28/5/2022 18:19:31] 
[28/5/2022 18:19:33] 
[28/5/2022 18:19:35] 
[28/5/2022 18:19:37] 
[28/5/2022 18:19:56] 
[28/5/2022 18:21:41] 
[28/5/2022 18:21:43] 
[28/5/2022 18:21:54] 
[28/5/2022 18:21:56] 
[28/5/2022 18:21:59] 
[28/5/2022 18:22:1] 
[28/5/2022 18:22:3] 
[28/5/2022 18:22:5] 
[28/5/2022 18:22:19] 
[28/5/2022 18:22:21] 
[28/5/2022 18:22:39] 
[28/5/2022 18:23:13] !emotespells on
[28/5/2022 18:23:50] 
[28/5/2022 18:24:6] 
[28/5/2022 18:25:20] 
[28/5/2022 18:25:22] 
[28/5/2022 18:25:24] 
[28/5/2022 18:25:27] 
[28/5/2022 18:25:29] 
[28/5/2022 18:25:31] 
[28/5/2022 18:25:33] 
[28/5/2022 18:25:35] 
[28/5/2022 18:25:37] 
[28/5/2022 18:25:39] 
[28/5/2022 18:26:6] 
[28/5/2022 18:26:8] 
[28/5/2022 18:26:10] 
[28/5/2022 18:26:12] 
[28/5/2022 18:26:14] 
[28/5/2022 18:26:16] 
[28/5/2022 18:26:31] 
[28/5/2022 18:26:34] 
[28/5/2022 18:26:36] 
[28/5/2022 18:26:38] 
[28/5/2022 18:27:54] 
[28/5/2022 18:27:57] 
[28/5/2022 18:28:45] 
[28/5/2022 18:28:52] 
[28/5/2022 18:28:54] 
[28/5/2022 18:30:45] !emotespells on
[28/5/2022 18:31:26] 
[28/5/2022 18:31:28] 
[28/5/2022 18:31:31] 
[28/5/2022 18:31:33] 
[28/5/2022 18:31:35] 
[28/5/2022 18:31:55] 
[28/5/2022 18:33:2] 
[28/5/2022 18:33:4] 
[28/5/2022 18:33:6] 
[28/5/2022 18:33:8] 
[28/5/2022 18:33:11] 
[28/5/2022 18:33:14] 
[28/5/2022 18:33:16] 
[28/5/2022 18:33:55] 
[28/5/2022 18:33:57] 
[28/5/2022 18:33:59] 
[28/5/2022 18:34:1] 
[28/5/2022 18:34:3] 
[28/5/2022 18:34:18] 
[28/5/2022 18:34:24] 
[28/5/2022 18:34:26] 
[28/5/2022 18:34:28] 
[28/5/2022 18:34:30] 
[28/5/2022 18:34:35] 
[28/5/2022 18:34:37] 
[28/5/2022 18:35:18] 
[28/5/2022 18:35:42] 
[28/5/2022 18:36:6] 
[28/5/2022 18:36:10] 
[28/5/2022 18:36:12] 
[28/5/2022 18:38:0] 
[28/5/2022 18:38:13] 
[28/5/2022 18:38:15] 
[28/5/2022 18:38:28] 
[28/5/2022 18:38:30] 
[28/5/2022 18:38:33] 
[28/5/2022 18:38:35] 
[28/5/2022 18:38:37] 
[28/5/2022 18:38:55] 
[28/5/2022 18:38:57] 
[28/5/2022 18:39:4] 
[28/5/2022 18:39:39] 
[28/5/2022 18:39:41] 
[28/5/2022 18:39:43] 
[28/5/2022 18:39:45] 
[28/5/2022 18:39:47] 
[28/5/2022 18:39:49] 
[28/5/2022 18:40:27] !emotespells on
[28/5/2022 18:41:10] 
[28/5/2022 18:41:13] 
[28/5/2022 18:41:15] 
[28/5/2022 18:42:41] 
[28/5/2022 18:42:43] 
[28/5/2022 18:42:45] 
[28/5/2022 18:42:47] 
[28/5/2022 18:43:11] 
[28/5/2022 18:43:13] 
[28/5/2022 18:43:15] 
[28/5/2022 18:43:17] 
[28/5/2022 18:43:19] 
[28/5/2022 18:43:21] 
[28/5/2022 18:44:30] 
[28/5/2022 18:44:32] 
[28/5/2022 18:45:0] 
[28/5/2022 18:45:2] 
[28/5/2022 18:45:4] 
[28/5/2022 18:48:42] !emotespells on
[28/5/2022 18:50:25] 
[28/5/2022 18:50:44] 
[28/5/2022 18:50:46] 
[28/5/2022 18:50:48] 
[28/5/2022 18:50:50] 
[28/5/2022 18:51:28] 
[28/5/2022 18:51:44] 
[28/5/2022 18:51:46] 
[28/5/2022 18:51:53] 
[28/5/2022 18:53:13] 
[28/5/2022 18:53:15] 
[28/5/2022 18:53:17] 
[28/5/2022 18:53:19] 
[28/5/2022 18:53:21] 
[28/5/2022 18:53:23] 
[28/5/2022 18:53:39] 
[28/5/2022 18:53:41] 
[28/5/2022 18:53:43] 
[28/5/2022 18:53:46] 
[28/5/2022 18:53:48] 
[28/5/2022 18:53:50] 
[28/5/2022 18:53:52] 
[28/5/2022 18:53:54] 
[28/5/2022 18:53:57] 
[28/5/2022 18:53:59] 
[28/5/2022 18:54:33] 
[28/5/2022 18:54:35] 
[28/5/2022 18:55:1] 
[28/5/2022 18:55:3] 
[28/5/2022 18:55:26] 
[28/5/2022 18:55:28] 
[28/5/2022 18:55:30] 
[28/5/2022 18:55:32] 
[28/5/2022 18:57:31] 
[28/5/2022 18:57:33] 
[28/5/2022 18:57:40] 
[28/5/2022 18:58:2] 
[28/5/2022 18:58:4] 
[28/5/2022 18:58:6] 
[28/5/2022 18:58:8] 
[28/5/2022 18:58:10] 
[28/5/2022 18:58:12] 
[28/5/2022 18:58:26] 
[28/5/2022 18:58:28] 
