[10/12/2021 20:41:29] !emotespells on
[10/12/2021 21:17:19] !wand
[10/12/2021 21:17:32] !wand fire
[10/12/2021 23:9:39] !wand fire
[11/12/2021 6:2:59] !wand fire
[11/12/2021 9:33:47] !wand holy
[11/12/2021 9:34:49] !wand energy
[11/12/2021 21:59:38] !wand energy
[12/12/2021 7:52:40] !wand energy
[12/12/2021 16:14:41] !wand energy
[12/12/2021 17:56:31] !wand energy
[15/12/2021 19:37:59] !wand energy
