[14/2/2022 23:49:34] !emotespells on
[14/2/2022 23:58:18] !guildpoints
[14/2/2022 23:58:52] !guildpoints
[14/2/2022 23:58:59] !guildpoints
[14/2/2022 23:59:11] !guildpoints
[15/2/2022 0:0:3] !guildpoints
[15/2/2022 0:0:21] !guildpoints
[15/2/2022 0:0:29] !guildpoints
[15/2/2022 0:1:20] !guildpoints
