[12/12/2021 15:25:26] !wand energy
[12/12/2021 15:32:47] !wand ice
[12/12/2021 21:15:36] !wand holy
[12/12/2021 21:41:48] !frags
[13/12/2021 21:13:11] !frags
[13/12/2021 21:29:22] !frags
[13/12/2021 22:28:43] !frags
[13/12/2021 22:28:46] !frags
[14/12/2021 20:58:27] !frags
[14/12/2021 21:2:1] !frags
[14/12/2021 21:3:31] !frags
[14/12/2021 21:24:58] !wand death
[14/12/2021 22:1:59] !frags
[14/12/2021 23:37:50] !frags
[15/12/2021 20:31:54] !online
