[1/6/2022 15:3:52] !emotespells on
[1/6/2022 15:34:35] !aol
[1/6/2022 15:44:18] !aol
[1/6/2022 15:54:56] !aol
[1/6/2022 19:16:24] !aol
[2/6/2022 6:3:38] !aol
[2/6/2022 15:15:37] !aol
[2/6/2022 15:15:52] !aol
[2/6/2022 15:43:24] !aol
[2/6/2022 22:1:56] !aol
[3/6/2022 15:15:46] !aol
[4/6/2022 3:4:30] !serverinfo
